FECHA,CO,TLA,NO2,NOX,O3,PM10,SO2
01/01/2010,1.1,9,47,56,3,98,10
01/01/2010,1.1,10,46,55,3,114,8
01/01/2010,1.1,-99,-99,-99,5,167,10
01/01/2010,1.0,-99,-99,-99,7,120,10
01/01/2010,0.7,-99,-99,-99,9,57,17
01/01/2010,0.3,0,23,19,14,59,5
01/01/2010,0.2,0,12,9,21,18,1
01/01/2010,0.2,0,13,11,21,17,1
01/01/2010,0.2,0,15,15,21,23,2
01/01/2010,0.1,1,6,8,34,9,1
01/01/2010,0.1,4,10,14,37,15,1
01/01/2010,0.2,2,9,10,45,15,1
01/01/2010,0.2,2,10,12,45,17,1
01/01/2010,0.2,4,10,14,51,21,2
01/01/2010,0.2,3,10,13,62,23,1
01/01/2010,0.3,1,13,14,73,20,1
01/01/2010,0.3,2,18,20,65,37,2
01/01/2010,0.3,2,20,21,35,48,2
01/01/2010,0.4,4,30,33,18,51,12
01/01/2010,0.6,10,43,53,6,58,69
01/01/2010,0.4,5,29,34,12,38,31
01/01/2010,0.6,31,38,69,2,53,70
01/01/2010,0.6,33,38,71,2,49,82
01/01/2010,0.4,31,37,69,2,47,102
02/01/2010,0.4,14,32,46,3,37,44
02/01/2010,0.3,10,33,43,2,31,44
02/01/2010,0.3,20,33,53,2,34,74
02/01/2010,0.3,14,32,46,2,33,61
02/01/2010,0.3,2,27,30,2,29,27
02/01/2010,0.3,3,25,27,2,35,14
02/01/2010,0.6,53,31,85,1,44,33
02/01/2010,1.0,66,32,98,2,43,26
02/01/2010,1.1,61,34,95,4,57,25
02/01/2010,1.1,44,41,85,9,54,20
02/01/2010,1.2,35,47,81,14,64,16
02/01/2010,1.4,37,59,97,18,75,14
02/01/2010,1.6,28,68,96,38,70,11
02/01/2010,0.8,3,35,37,63,31,5
02/01/2010,0.6,3,25,27,60,4,3
02/01/2010,0.5,1,30,30,64,27,3
02/01/2010,0.7,2,35,36,64,32,3
02/01/2010,0.9,3,43,44,45,75,6
02/01/2010,0.6,1,34,32,29,78,8
02/01/2010,0.5,2,27,28,21,24,4
02/01/2010,0.3,1,20,21,20,9,2
02/01/2010,0.3,2,31,32,12,19,5
02/01/2010,0.4,4,30,34,11,21,7
02/01/2010,0.2,0,26,26,16,7,12
03/01/2010,0.3,0,26,26,17,11,5
03/01/2010,0.3,2,30,31,10,11,5
03/01/2010,0.2,1,28,28,15,6,9
03/01/2010,0.2,0,27,25,13,13,11
03/01/2010,0.2,0,24,22,14,23,8
03/01/2010,0.3,1,26,26,10,21,6
03/01/2010,0.5,10,32,42,2,27,11
03/01/2010,0.5,20,33,53,3,33,19
03/01/2010,0.6,29,30,59,6,38,22
03/01/2010,0.6,19,27,46,12,35,28
03/01/2010,0.6,17,26,43,18,42,28
03/01/2010,0.6,13,28,41,23,42,25
03/01/2010,0.6,14,28,42,22,43,22
03/01/2010,0.5,9,27,35,18,46,21
03/01/2010,0.5,15,19,34,14,26,6
03/01/2010,0.5,12,20,32,13,21,6
03/01/2010,0.5,13,25,38,12,17,5
03/01/2010,0.4,12,24,35,13,19,4
03/01/2010,0.4,10,30,39,9,15,14
03/01/2010,0.5,9,27,36,9,16,16
03/01/2010,0.5,10,30,40,5,22,4
03/01/2010,0.5,11,30,41,5,13,3
03/01/2010,0.7,21,33,54,2,13,2
03/01/2010,0.4,8,24,30,10,-99,1
04/01/2010,0.2,-99,-99,-99,9,14,1
04/01/2010,-99,-99,-99,-99,8,2,-99
04/01/2010,-99,-99,-99,-99,-99,-99,-99
04/01/2010,0.1,0,14,14,-99,2,2
04/01/2010,0.1,1,16,18,10,9,6
04/01/2010,0.3,15,23,38,4,15,7
04/01/2010,0.6,42,25,67,2,30,9
04/01/2010,0.9,54,28,81,2,31,11
04/01/2010,1.3,78,28,106,4,59,10
04/01/2010,0.8,41,29,70,7,47,9
04/01/2010,0.7,32,30,63,11,32,4
04/01/2010,0.5,16,21,36,26,21,2
04/01/2010,0.4,9,19,28,31,18,2
04/01/2010,0.4,7,19,25,35,18,2
04/01/2010,0.6,10,22,32,37,26,2
04/01/2010,0.7,12,23,35,35,28,2
04/01/2010,0.5,9,21,29,36,22,3
04/01/2010,0.5,5,28,31,26,51,3
04/01/2010,0.7,14,35,49,7,49,3
04/01/2010,0.6,14,27,41,7,33,3
04/01/2010,0.5,12,31,43,7,17,2
04/01/2010,0.3,11,30,41,7,14,2
04/01/2010,0.2,5,25,30,13,7,2
04/01/2010,0.2,1,20,21,15,7,1
05/01/2010,0.1,0,17,14,19,4,1
05/01/2010,0.1,-99,-99,-99,21,1,1
05/01/2010,0.1,-99,-99,-99,22,-99,1
05/01/2010,0.1,-99,-99,-99,21,1,1
05/01/2010,0.1,-99,-99,-99,12,6,1
05/01/2010,0.3,6,32,37,5,16,3
05/01/2010,0.5,12,30,41,3,16,4
05/01/2010,0.7,32,34,66,-99,26,7
05/01/2010,1.0,55,33,87,4,49,7
05/01/2010,1.0,37,28,65,7,39,4
05/01/2010,0.9,24,30,53,15,34,4
05/01/2010,0.9,34,38,71,17,44,5
05/01/2010,1.3,31,54,84,27,59,5
05/01/2010,1.1,20,54,74,41,59,4
05/01/2010,1.2,9,71,80,53,69,4
05/01/2010,1.2,8,64,71,56,54,4
05/01/2010,1.3,7,71,76,50,85,4
05/01/2010,1.2,-99,-99,-99,48,88,3
05/01/2010,1.4,-99,-99,-99,23,92,3
05/01/2010,1.1,20,57,77,-99,94,25
05/01/2010,0.9,19,51,69,-99,65,41
05/01/2010,0.7,20,50,69,-99,46,65
05/01/2010,0.7,29,44,74,-99,46,39
05/01/2010,0.5,7,40,46,-99,40,38
06/01/2010,0.6,25,41,66,-99,52,60
06/01/2010,0.5,31,40,71,-99,48,77
06/01/2010,0.5,38,39,76,-99,53,85
06/01/2010,0.6,39,40,79,-99,56,88
06/01/2010,0.6,55,42,96,-99,82,91
06/01/2010,0.8,74,39,112,-99,67,76
06/01/2010,1.2,113,39,152,-99,79,62
06/01/2010,1.8,161,40,201,-99,83,54
06/01/2010,1.4,77,39,116,4,57,47
06/01/2010,1.8,95,55,150,9,88,39
06/01/2010,1.3,44,64,108,20,74,26
06/01/2010,1.2,20,61,80,35,66,18
06/01/2010,1.0,7,49,56,45,67,12
06/01/2010,0.8,7,37,43,46,49,9
06/01/2010,0.8,-99,-99,-99,52,44,7
06/01/2010,0.8,-99,-99,-99,46,55,7
06/01/2010,0.5,-99,-99,-99,41,33,4
06/01/2010,0.8,-99,-99,-99,27,44,4
06/01/2010,0.7,-99,-99,-99,11,91,24
06/01/2010,0.9,-99,-99,-99,4,79,42
06/01/2010,0.9,-99,-99,-99,-99,59,17
06/01/2010,1.3,-99,-99,-99,-99,34,8
06/01/2010,1.5,54,41,92,-99,52,9
06/01/2010,1.4,56,43,99,2,46,12
07/01/2010,1.0,40,39,79,2,47,8
07/01/2010,0.6,11,34,45,2,32,8
07/01/2010,0.3,1,30,29,3,24,7
07/01/2010,0.3,1,29,29,3,24,6
07/01/2010,0.4,12,26,37,4,31,6
07/01/2010,0.8,35,27,62,2,35,5
07/01/2010,1.7,135,33,168,-99,71,9
07/01/2010,2.8,193,34,227,2,73,10
07/01/2010,2.8,197,46,244,3,97,13
07/01/2010,2.8,141,72,213,6,101,12
07/01/2010,2.4,87,96,183,11,101,10
07/01/2010,2.0,59,97,156,22,113,10
07/01/2010,1.2,-99,-99,-99,43,87,8
07/01/2010,-99,-99,-99,-99,-99,81,-99
07/01/2010,1.2,19,56,76,41,78,8
07/01/2010,1.0,11,56,67,44,81,8
07/01/2010,1.0,8,54,62,34,81,10
07/01/2010,0.8,17,49,66,12,91,48
07/01/2010,1.2,20,53,74,7,44,20
07/01/2010,1.3,33,53,86,3,39,17
07/01/2010,0.9,27,49,76,-99,14,23
07/01/2010,0.7,10,42,52,-99,14,9
07/01/2010,0.8,13,44,57,-99,13,5
07/01/2010,0.5,-99,-99,-99,-99,11,3
08/01/2010,0.3,-99,-99,-99,-99,10,4
08/01/2010,0.2,-99,-99,-99,-99,10,4
08/01/2010,0.2,-99,-99,-99,-99,13,2
08/01/2010,0.2,-99,-99,-99,-99,13,2
08/01/2010,0.2,-99,-99,-99,-99,14,1
08/01/2010,0.4,-99,-99,-99,-99,13,1
08/01/2010,0.8,29,34,64,2,20,2
08/01/2010,0.9,33,38,72,3,26,2
08/01/2010,1.2,48,41,88,5,33,3
08/01/2010,2.0,90,43,133,4,39,4
08/01/2010,1.3,49,36,85,8,5,3
08/01/2010,1.4,52,42,94,7,15,3
08/01/2010,1.0,35,30,64,12,-99,2
08/01/2010,1.7,54,41,95,8,43,3
08/01/2010,1.8,66,43,110,6,62,4
08/01/2010,1.2,38,32,71,8,6,2
08/01/2010,0.8,31,25,56,9,10,2
08/01/2010,1.8,66,34,100,3,29,4
08/01/2010,1.8,96,33,130,2,39,5
08/01/2010,1.7,92,31,123,2,21,4
08/01/2010,1.5,76,36,112,2,37,5
08/01/2010,1.0,47,31,78,2,48,4
08/01/2010,1.0,56,30,86,-99,15,4
08/01/2010,0.7,32,27,58,-99,3,2
09/01/2010,0.5,19,25,44,-99,13,2
09/01/2010,0.4,23,24,47,-99,25,2
09/01/2010,0.5,31,24,54,2,23,3
09/01/2010,0.6,26,25,51,1,20,4
09/01/2010,0.5,30,23,53,1,34,4
09/01/2010,0.7,55,24,79,2,48,6
09/01/2010,1.0,76,25,100,2,48,5
09/01/2010,0.7,46,26,72,2,40,9
09/01/2010,0.8,30,21,52,3,47,5
09/01/2010,0.9,32,24,57,4,39,6
09/01/2010,1.1,29,26,55,9,27,8
09/01/2010,1.1,44,32,76,8,33,6
09/01/2010,0.9,39,32,71,6,47,12
09/01/2010,1.1,36,29,65,7,31,10
09/01/2010,1.0,40,33,73,7,37,22
09/01/2010,0.9,38,31,68,5,35,39
09/01/2010,1.5,51,35,85,4,37,27
09/01/2010,1.4,25,29,55,3,34,14
09/01/2010,0.7,22,31,53,3,30,6
09/01/2010,0.8,35,33,67,2,25,5
09/01/2010,0.7,28,27,55,2,29,4
09/01/2010,0.6,26,25,52,3,18,3
09/01/2010,0.5,16,28,43,8,7,3
09/01/2010,0.5,27,31,58,2,23,15
10/01/2010,0.4,14,29,43,4,20,22
10/01/2010,0.3,11,21,32,11,5,14
10/01/2010,0.2,9,16,25,13,9,5
10/01/2010,0.2,11,20,31,9,14,5
10/01/2010,0.3,19,27,46,2,39,14
10/01/2010,0.4,30,31,61,2,56,17
10/01/2010,0.6,47,31,78,2,62,22
10/01/2010,0.7,51,26,77,2,63,27
10/01/2010,0.7,59,28,87,3,82,33
10/01/2010,0.8,54,25,78,6,81,21
10/01/2010,0.8,49,24,72,9,74,17
10/01/2010,0.8,37,26,62,23,47,12
10/01/2010,0.7,28,33,61,32,45,10
10/01/2010,0.8,19,31,50,41,73,13
10/01/2010,0.7,13,28,41,49,81,11
10/01/2010,0.6,10,27,37,49,67,9
10/01/2010,0.6,14,27,41,30,46,18
10/01/2010,0.5,14,31,45,19,44,33
10/01/2010,0.6,18,34,52,10,41,36
10/01/2010,0.6,21,30,51,7,39,42
10/01/2010,0.5,26,32,58,5,38,50
10/01/2010,0.3,17,28,45,8,33,43
10/01/2010,0.4,27,31,58,3,46,50
10/01/2010,0.3,14,28,42,6,29,39
11/01/2010,0.2,-99,-99,-99,8,21,33
11/01/2010,0.2,-99,-99,-99,12,21,11
11/01/2010,-99,-99,-99,-99,10,26,-99
11/01/2010,0.2,11,21,32,-99,33,10
11/01/2010,0.2,11,21,32,7,39,13
11/01/2010,0.4,28,25,52,3,53,11
11/01/2010,0.8,71,27,98,2,78,10
11/01/2010,1.6,138,28,166,3,108,11
11/01/2010,1.9,144,32,176,3,109,10
11/01/2010,2.0,136,36,171,3,-99,10
11/01/2010,-99,-99,-99,-99,-99,-99,-99
11/01/2010,-99,-99,-99,-99,-99,-99,-99
11/01/2010,-99,-99,-99,-99,-99,150,-99
11/01/2010,1.5,45,68,113,25,151,6
11/01/2010,1.2,31,50,80,36,101,5
11/01/2010,0.7,24,28,52,37,48,4
11/01/2010,0.7,21,27,49,35,55,3
11/01/2010,1.1,28,38,66,24,66,3
11/01/2010,1.2,40,52,93,12,72,3
11/01/2010,2.2,89,66,155,3,99,5
11/01/2010,1.6,71,58,129,2,87,4
11/01/2010,1.8,82,53,135,3,94,5
11/01/2010,1.1,33,49,82,4,85,15
11/01/2010,0.9,21,44,65,5,72,31
12/01/2010,0.6,12,38,50,-99,67,24
12/01/2010,0.6,13,35,47,-99,62,18
12/01/2010,0.5,13,31,44,-99,52,14
12/01/2010,0.6,33,36,68,-99,129,37
12/01/2010,0.6,81,36,117,-99,91,55
12/01/2010,1.0,58,29,88,-99,67,22
12/01/2010,1.7,191,37,227,-99,142,37
12/01/2010,2.4,244,44,288,-99,194,40
12/01/2010,2.7,216,39,255,-99,170,32
12/01/2010,2.4,190,56,246,-99,209,43
12/01/2010,1.6,91,51,142,-99,116,30
12/01/2010,1.0,35,50,85,-99,65,15
12/01/2010,1.2,34,58,91,-99,72,13
12/01/2010,1.5,36,77,114,-99,90,11
12/01/2010,1.5,32,80,112,-99,117,12
12/01/2010,1.2,22,58,79,-99,82,8
12/01/2010,1.2,37,49,86,-99,61,6
12/01/2010,0.9,20,49,69,-99,101,9
12/01/2010,0.7,24,40,64,-99,72,70
12/01/2010,0.9,28,40,68,-99,42,48
12/01/2010,0.8,37,41,78,-99,58,65
12/01/2010,0.6,24,34,58,-99,53,42
12/01/2010,0.5,19,34,52,-99,44,83
12/01/2010,0.4,38,35,73,-99,47,147
13/01/2010,0.4,47,35,82,-99,44,183
13/01/2010,0.4,37,35,71,-99,36,83
13/01/2010,0.4,37,35,71,-99,40,58
13/01/2010,0.4,46,34,79,-99,43,52
13/01/2010,0.4,38,30,67,-99,62,25
13/01/2010,0.5,25,30,55,-99,36,9
13/01/2010,0.7,36,30,67,-99,40,8
13/01/2010,1.1,72,32,104,-99,53,8
13/01/2010,1.2,58,29,86,4,61,14
13/01/2010,1.2,62,31,92,7,58,18
13/01/2010,1.3,59,40,100,13,75,21
13/01/2010,1.5,54,57,111,22,89,20
13/01/2010,1.4,31,67,104,37,83,14
13/01/2010,2.0,35,90,124,41,98,11
13/01/2010,1.5,16,76,91,51,81,9
13/01/2010,1.4,15,69,84,51,75,9
13/01/2010,1.3,20,59,80,44,69,9
13/01/2010,1.0,28,61,89,14,102,47
13/01/2010,1.7,53,66,119,4,94,36
13/01/2010,2.1,77,70,147,6,99,33
13/01/2010,1.7,71,60,131,4,95,82
13/01/2010,1.7,86,57,142,3,103,90
13/01/2010,0.8,25,45,70,5,71,43
13/01/2010,1.1,43,47,89,3,62,28
14/01/2010,1.5,72,51,123,-99,74,23
14/01/2010,1.6,82,48,130,2,71,18
14/01/2010,1.3,92,40,132,2,79,19
14/01/2010,0.9,76,38,114,-99,81,21
14/01/2010,1.0,72,36,108,2,72,18
14/01/2010,1.2,80,34,113,2,71,18
14/01/2010,2.0,146,37,183,2,73,16
14/01/2010,3.0,214,41,254,3,100,18
14/01/2010,3.5,202,57,259,5,89,16
14/01/2010,1.5,66,45,111,18,42,8
14/01/2010,0.7,23,27,50,30,16,5
14/01/2010,0.3,9,10,19,36,6,1
14/01/2010,0.3,9,11,20,39,14,1
14/01/2010,0.3,10,10,19,42,23,1
14/01/2010,0.3,11,10,21,37,17,1
14/01/2010,0.3,14,11,25,34,30,1
14/01/2010,0.3,12,12,24,32,34,1
14/01/2010,0.4,14,17,31,23,28,2
14/01/2010,0.3,10,18,29,18,26,2
14/01/2010,0.4,13,19,32,15,19,1
14/01/2010,0.3,11,20,30,17,18,1
14/01/2010,0.4,14,19,33,19,20,2
14/01/2010,0.4,14,22,36,14,16,2
14/01/2010,0.3,12,19,31,15,10,2
15/01/2010,0.1,8,9,17,25,-99,1
15/01/2010,0.1,9,7,16,26,3,1
15/01/2010,0.1,9,7,15,27,11,1
15/01/2010,0.1,10,14,24,19,8,2
15/01/2010,0.1,9,11,21,23,-99,1
15/01/2010,0.2,10,14,23,22,7,2
15/01/2010,0.4,15,21,36,15,9,2
15/01/2010,0.5,21,26,47,12,20,2
15/01/2010,0.4,22,18,40,20,17,2
15/01/2010,0.4,19,12,30,26,20,1
15/01/2010,0.3,15,9,24,29,23,1
15/01/2010,0.3,18,11,29,28,22,1
15/01/2010,0.3,14,9,23,30,14,1
15/01/2010,0.2,13,8,21,32,19,1
15/01/2010,0.2,15,9,24,32,26,1
15/01/2010,0.2,13,9,21,33,57,1
15/01/2010,0.3,15,12,26,30,45,1
15/01/2010,0.3,14,14,28,26,58,1
15/01/2010,0.3,13,17,30,22,20,1
15/01/2010,0.3,12,15,26,25,21,1
15/01/2010,0.3,13,16,29,23,17,1
15/01/2010,0.3,13,16,29,23,17,1
15/01/2010,0.3,13,15,28,23,12,1
15/01/2010,0.2,11,11,22,26,8,1
16/01/2010,0.2,11,12,23,24,8,1
16/01/2010,0.2,9,14,23,23,8,1
16/01/2010,0.1,9,8,17,29,2,1
16/01/2010,0.1,9,9,18,28,23,1
16/01/2010,0.1,9,11,20,25,6,1
16/01/2010,0.4,25,29,54,4,37,12
16/01/2010,0.4,15,26,41,10,40,11
16/01/2010,0.7,38,33,69,4,53,21
16/01/2010,1.4,94,37,131,4,54,15
16/01/2010,1.2,79,35,113,9,44,22
16/01/2010,1.2,60,39,99,17,58,30
16/01/2010,1.0,39,36,75,29,38,21
16/01/2010,0.8,22,28,51,44,16,14
16/01/2010,0.7,14,26,40,54,23,8
16/01/2010,0.6,14,22,35,45,9,4
16/01/2010,0.3,15,10,25,33,11,1
16/01/2010,0.3,15,11,26,32,13,1
16/01/2010,0.4,15,15,29,27,19,1
16/01/2010,0.5,16,22,38,16,20,2
16/01/2010,0.3,12,19,31,17,21,2
16/01/2010,0.4,14,25,39,9,19,2
16/01/2010,0.3,12,17,29,15,9,1
16/01/2010,0.3,14,15,29,17,11,1
16/01/2010,0.3,13,14,28,17,4,1
17/01/2010,0.4,19,21,40,8,10,1
17/01/2010,0.9,59,28,87,2,33,4
17/01/2010,0.9,60,29,89,2,48,11
17/01/2010,0.9,63,28,91,2,42,6
17/01/2010,1.0,73,28,101,2,47,5
17/01/2010,1.1,89,28,117,2,60,9
17/01/2010,1.2,88,28,116,2,61,9
17/01/2010,1.3,92,26,118,2,45,7
17/01/2010,1.4,91,30,121,5,54,15
17/01/2010,1.4,62,32,95,14,37,7
17/01/2010,0.5,13,16,29,33,-99,2
17/01/2010,0.4,12,10,22,42,-99,1
17/01/2010,0.2,11,6,17,41,3,1
17/01/2010,0.2,10,5,16,48,5,1
17/01/2010,0.2,11,7,18,52,22,2
17/01/2010,0.2,11,8,19,45,24,1
17/01/2010,0.2,11,7,19,40,11,1
17/01/2010,0.2,13,9,23,31,19,1
17/01/2010,0.3,12,14,26,20,34,1
17/01/2010,0.3,12,14,27,16,16,1
17/01/2010,0.3,16,15,31,14,17,1
17/01/2010,0.3,13,17,29,13,6,1
17/01/2010,0.5,15,20,36,9,28,2
17/01/2010,0.8,29,31,59,2,21,3
18/01/2010,0.6,-99,-99,-99,3,6,2
18/01/2010,0.7,-99,-99,-99,2,21,3
18/01/2010,-99,-99,-99,-99,2,28,-99
18/01/2010,0.5,44,25,69,-99,29,3
18/01/2010,0.4,40,24,64,3,21,4
18/01/2010,0.6,40,28,67,3,21,6
18/01/2010,1.5,91,30,120,2,38,10
18/01/2010,1.3,88,30,117,3,29,11
18/01/2010,1.7,107,36,142,7,45,9
18/01/2010,1.0,46,31,76,16,22,4
18/01/2010,0.7,26,24,50,27,18,4
18/01/2010,0.9,27,33,60,39,14,3
18/01/2010,0.8,23,27,50,46,4,2
18/01/2010,0.8,22,21,43,51,1,3
18/01/2010,0.7,20,20,40,56,17,3
18/01/2010,0.7,15,22,37,68,26,4
18/01/2010,0.9,28,38,66,57,41,3
18/01/2010,0.9,19,41,60,40,74,4
18/01/2010,0.9,12,45,57,23,64,2
18/01/2010,1.6,56,58,114,4,65,5
18/01/2010,1.7,59,54,112,2,66,5
18/01/2010,1.9,62,53,115,1,70,5
18/01/2010,1.3,58,42,101,3,29,6
18/01/2010,1.0,54,38,91,2,35,5
19/01/2010,0.7,25,34,59,2,20,5
19/01/2010,0.3,6,26,32,7,13,6
19/01/2010,0.4,15,29,44,4,19,5
19/01/2010,0.5,23,30,53,2,26,4
19/01/2010,0.4,21,29,50,2,25,4
19/01/2010,0.6,37,29,66,2,31,5
19/01/2010,1.5,114,32,145,2,53,7
19/01/2010,3.9,286,46,332,3,91,11
19/01/2010,2.9,206,44,251,4,78,11
19/01/2010,2.6,132,76,208,10,94,11
19/01/2010,2.1,74,97,171,26,88,9
19/01/2010,1.6,35,70,105,49,31,5
19/01/2010,1.4,20,62,81,70,38,5
19/01/2010,1.4,16,59,75,93,32,4
19/01/2010,1.1,12,46,58,101,29,4
19/01/2010,0.4,10,18,27,65,-99,2
19/01/2010,0.5,11,20,30,66,39,3
19/01/2010,0.5,15,22,38,38,31,2
19/01/2010,0.6,18,30,49,18,45,2
19/01/2010,0.7,22,31,52,11,37,2
19/01/2010,0.8,21,30,51,10,37,2
19/01/2010,0.9,34,33,67,4,26,3
19/01/2010,0.6,27,27,54,10,24,3
19/01/2010,0.6,20,28,48,6,12,2
20/01/2010,1.2,26,33,59,3,48,13
20/01/2010,0.4,8,28,36,4,23,2
20/01/2010,0.5,20,29,49,2,9,2
20/01/2010,0.3,11,25,36,4,6,2
20/01/2010,0.4,33,28,61,2,13,2
20/01/2010,1.0,67,29,95,2,22,3
20/01/2010,1.9,180,34,213,3,50,8
20/01/2010,2.5,228,32,260,3,60,10
20/01/2010,3.4,274,47,321,4,174,16
20/01/2010,2.1,145,66,211,10,103,19
20/01/2010,2.4,117,105,222,19,105,10
20/01/2010,1.4,40,63,104,41,20,4
20/01/2010,1.1,24,53,77,56,8,4
20/01/2010,0.4,14,14,27,45,13,2
20/01/2010,0.4,12,17,29,58,36,3
20/01/2010,0.4,12,19,31,55,32,3
20/01/2010,0.4,15,15,30,39,21,2
20/01/2010,0.4,16,18,34,33,21,2
20/01/2010,0.7,21,28,48,18,31,2
20/01/2010,0.6,21,29,51,14,35,2
20/01/2010,0.8,32,35,67,8,39,3
20/01/2010,0.7,29,34,64,8,25,3
20/01/2010,0.9,34,36,71,4,34,3
20/01/2010,1.1,41,38,79,2,42,10
21/01/2010,0.8,24,34,58,5,13,4
21/01/2010,0.8,6,29,34,9,27,7
21/01/2010,0.5,5,26,32,12,9,7
21/01/2010,0.3,8,26,34,6,10,2
21/01/2010,0.4,16,25,42,8,12,2
21/01/2010,0.5,32,26,58,5,9,2
21/01/2010,1.4,99,37,136,2,41,8
21/01/2010,4.7,313,47,359,4,106,16
21/01/2010,5.1,362,63,424,5,121,16
21/01/2010,-99,-99,-99,-99,-99,33,-99
21/01/2010,2.1,-99,-99,-99,23,54,6
21/01/2010,1.7,47,66,113,36,33,4
21/01/2010,0.9,25,35,60,51,4,3
21/01/2010,0.5,16,18,34,44,15,2
21/01/2010,0.3,16,13,29,45,22,2
21/01/2010,0.4,14,15,29,50,21,2
21/01/2010,0.4,15,16,31,44,29,2
21/01/2010,0.4,15,19,35,35,25,2
21/01/2010,0.7,20,32,52,17,25,2
21/01/2010,0.7,26,35,61,11,14,3
21/01/2010,1.5,71,44,114,4,25,4
21/01/2010,1.9,118,49,166,3,44,6
21/01/2010,1.6,111,41,151,3,39,5
21/01/2010,1.4,93,39,132,2,35,4
22/01/2010,0.8,51,36,87,2,31,3
22/01/2010,0.7,36,37,72,2,24,3
22/01/2010,0.7,39,38,77,2,30,3
22/01/2010,0.8,53,38,90,2,31,3
22/01/2010,0.7,31,36,68,3,29,3
22/01/2010,1.1,81,39,120,3,39,4
22/01/2010,2.3,221,41,262,3,70,9
22/01/2010,4.1,349,48,398,3,89,13
22/01/2010,4.6,356,61,418,4,110,14
22/01/2010,2.5,141,76,217,12,81,9
22/01/2010,2.6,103,129,233,25,118,8
22/01/2010,2.6,72,161,234,43,121,8
22/01/2010,2.3,50,137,187,60,68,7
22/01/2010,2.0,41,113,155,65,61,7
22/01/2010,1.5,23,84,108,86,71,6
22/01/2010,1.4,20,68,88,93,61,5
22/01/2010,1.4,20,75,95,94,65,5
22/01/2010,1.5,23,76,99,94,66,4
22/01/2010,1.9,42,93,135,34,114,5
22/01/2010,2.4,46,90,136,3,98,5
22/01/2010,2.1,61,86,148,3,101,6
22/01/2010,2.6,127,81,208,2,81,7
22/01/2010,2.6,141,70,211,2,73,7
22/01/2010,2.2,120,63,183,2,64,8
23/01/2010,2.0,113,60,173,2,55,9
23/01/2010,2.2,152,58,210,2,59,10
23/01/2010,1.7,105,56,161,2,49,8
23/01/2010,1.4,54,64,117,2,54,8
23/01/2010,1.4,62,53,115,2,48,7
23/01/2010,1.1,51,52,103,2,36,5
23/01/2010,1.7,127,54,181,2,51,7
23/01/2010,2.6,209,58,267,3,78,10
23/01/2010,3.0,233,70,303,5,185,16
23/01/2010,2.4,127,84,211,13,126,22
23/01/2010,2.8,89,119,209,26,126,9
23/01/2010,2.0,54,104,158,47,127,14
23/01/2010,1.1,20,57,76,74,43,7
23/01/2010,0.7,13,27,40,65,-99,3
23/01/2010,0.4,10,14,23,58,20,2
23/01/2010,0.3,10,12,22,61,18,2
23/01/2010,0.5,10,22,32,74,60,3
23/01/2010,0.5,10,26,37,51,32,2
23/01/2010,0.6,14,37,51,27,54,2
23/01/2010,0.7,15,40,55,22,41,2
23/01/2010,0.7,10,38,48,15,12,2
23/01/2010,0.9,26,44,70,8,27,3
23/01/2010,1.5,54,53,107,3,33,4
23/01/2010,1.4,66,48,114,3,21,4
24/01/2010,0.8,18,40,58,5,12,2
24/01/2010,0.8,17,39,56,5,20,2
24/01/2010,0.6,10,37,48,6,20,2
24/01/2010,0.8,24,40,64,2,25,2
24/01/2010,0.7,15,39,54,4,25,2
24/01/2010,0.8,31,40,71,3,30,3
24/01/2010,1.2,76,40,115,2,32,4
24/01/2010,1.6,89,41,129,3,53,6
24/01/2010,1.7,85,46,131,8,49,6
24/01/2010,1.9,64,72,136,22,78,6
24/01/2010,2.7,74,125,199,32,107,8
24/01/2010,2.2,42,114,156,60,83,7
24/01/2010,1.3,15,65,80,89,52,4
24/01/2010,1.0,9,43,52,103,28,4
24/01/2010,0.7,7,30,37,108,18,3
24/01/2010,0.6,7,22,29,105,22,3
24/01/2010,0.6,8,24,32,113,28,3
24/01/2010,1.1,10,35,46,64,66,4
24/01/2010,1.3,10,55,64,26,69,4
24/01/2010,1.3,17,64,81,7,64,4
24/01/2010,1.9,24,74,98,4,86,4
24/01/2010,1.5,14,66,80,8,80,4
24/01/2010,1.7,46,80,126,3,68,5
24/01/2010,1.8,86,57,143,2,55,5
25/01/2010,1.2,-99,-99,-99,2,42,4
25/01/2010,1.0,-99,-99,-99,2,40,3
25/01/2010,-99,-99,-99,-99,4,31,-99
25/01/2010,0.6,12,39,50,-99,36,2
25/01/2010,0.8,28,43,71,2,39,3
25/01/2010,0.9,36,39,75,2,36,3
25/01/2010,1.6,117,39,156,2,53,7
25/01/2010,2.3,170,42,212,2,66,8
25/01/2010,2.6,172,52,223,4,69,10
25/01/2010,2.2,120,69,189,11,86,22
25/01/2010,1.9,102,82,183,17,84,51
25/01/2010,1.4,43,72,115,41,-99,37
25/01/2010,0.9,18,44,62,63,-99,18
25/01/2010,0.9,19,41,60,72,-99,11
25/01/2010,1.0,11,43,53,100,44,11
25/01/2010,1.2,9,51,60,127,65,11
25/01/2010,1.0,10,43,53,106,54,9
25/01/2010,1.2,11,43,54,59,65,6
25/01/2010,0.8,12,51,63,38,64,11
25/01/2010,1.4,26,73,99,12,71,10
25/01/2010,1.0,22,55,76,-99,83,46
